choice,11,13.095238095238097
state,7,8.333333333333332
y,6,7.142857142857142
c,6,7.142857142857142
x,6,7.142857142857142
h,5,5.952380952380952
score,5,5.952380952380952
best,4,4.761904761904762
move,4,4.761904761904762
cell,3,3.571428571428571
player,3,3.571428571428571
first,3,3.571428571428571
depth,3,3.571428571428571
row,2,2.380952380952381
i,1,1.1904761904761905
j,1,1.1904761904761905
can,1,1.1904761904761905
coord,1,1.1904761904761905
moves,1,1.1904761904761905
human,1,1.1904761904761905
symbol,1,1.1904761904761905
line,1,1.1904761904761905
comp,1,1.1904761904761905
chars,1,1.1904761904761905
name,1,1.1904761904761905
os,1,1.1904761904761905
cells,1,1.1904761904761905
win,1,1.1904761904761905
board,1,1.1904761904761905
str,1,1.1904761904761905

